"","Locations_to_use","left","right","xloc","yloc","xloc1","yloc1","Date","batches_per_lane","su_per_lane"
"1","A01A01","A01","A01",75,10,9,73,"8-Aug-14",1,27
"2","A01A01","A01","A01",75,10,9,73,"1-Sep-14",1,14
"3","A01A01","A01","A01",75,10,9,73,"13-Aug-14",1,27
"4","A01A01","A01","A01",75,10,9,73,"31-Jul-14",1,27
"5","A01A01","A01","A01",75,10,9,73,"21-Aug-14",1,27
"6","A01A01","A01","A01",75,10,9,73,"30-Jul-14",1,27
"7","A01A01","A01","A01",75,10,9,73,"9-Sep-14",1,1
"8","A01A01","A01","A01",75,10,9,73,"18-Aug-14",1,27
"9","A01A01","A01","A01",75,10,9,73,"10-Sep-14",1,1
"10","A01A01","A01","A01",75,10,9,73,"15-Jul-14",1,27
"11","A01A01","A01","A01",75,10,9,73,"19-Sep-14",1,36
"12","A01A01","A01","A01",75,10,9,73,"6-Sep-14",1,34
"13","A01A01","A01","A01",75,10,9,73,"11-Aug-14",1,27
"14","A01A01","A01","A01",75,10,9,73,"14-Aug-14",1,27
"15","A01A01","A01","A01",75,10,9,73,"16-Sep-14",1,36
"16","A01A01","A01","A01",75,10,9,73,"10-Jul-14",1,27
"17","A01A01","A01","A01",75,10,9,73,"11-Jul-14",1,27
"18","A01A01","A01","A01",75,10,9,73,"18-Jul-14",1,27
"19","A01A01","A01","A01",75,10,9,73,"3-Aug-14",1,27
"20","A01A01","A01","A01",75,10,9,73,"13-Sep-14",1,36
"21","A01A01","A01","A01",75,10,9,73,"17-Sep-14",1,36
"22","A01A01","A01","A01",75,10,9,73,"12-Sep-14",1,36
"23","A01A01","A01","A01",75,10,9,73,"3-Sep-14",1,14
"24","A01A01","A01","A01",75,10,9,73,"16-Jul-14",1,27
"25","A01A01","A01","A01",75,10,9,73,"12-Aug-14",1,27
"26","A01A01","A01","A01",75,10,9,73,"28-Jul-14",1,27
"27","A01A01","A01","A01",75,10,9,73,"6-Aug-14",1,27
"28","A01A01","A01","A01",75,10,9,73,"19-Aug-14",1,27
"29","A01A01","A01","A01",75,10,9,73,"15-Sep-14",1,36
"30","A01A01","A01","A01",75,10,9,73,"5-Jul-14",1,27
"31","A01A01","A01","A01",75,10,9,73,"1-Aug-14",1,27
"32","A01A01","A01","A01",75,10,9,73,"12-Jul-14",1,27
"33","A01A01","A01","A01",75,10,9,73,"2-Sep-14",1,14
"34","A01A01","A01","A01",75,10,9,73,"16-Aug-14",1,27
"35","A01A01","A01","A01",75,10,9,73,"22-Jul-14",1,27
"36","A01A01","A01","A01",75,10,9,73,"9-Jul-14",1,27
"37","A01A01","A01","A01",75,10,9,73,"27-Aug-14",1,14
"38","A01A01","A01","A01",75,10,9,73,"28-Aug-14",1,14
"39","A01A01","A01","A01",75,10,9,73,"11-Sep-14",1,36
"40","A01A01","A01","A01",75,10,9,73,"29-Aug-14",1,14
"41","A01A01","A01","A01",75,10,9,73,"4-Jul-14",1,28
"42","A01A01","A01","A01",75,10,9,73,"5-Aug-14",1,27
"43","A01A01","A01","A01",75,10,9,73,"10-Aug-14",1,27
"44","A01A01","A01","A01",75,10,9,73,"8-Jul-14",1,27
"45","A01A01","A01","A01",75,10,9,73,"23-Aug-14",1,27
"46","A01A01","A01","A01",75,10,9,73,"17-Jul-14",1,27
"47","A01A01","A01","A01",75,10,9,73,"25-Aug-14",1,27
"48","A01A01","A01","A01",75,10,9,73,"7-Aug-14",1,27
"49","A01A01","A01","A01",75,10,9,73,"26-Aug-14",1,27
"50","A01A01","A01","A01",75,10,9,73,"7-Jul-14",1,27
"51","A01A01","A01","A01",75,10,9,73,"26-Jul-14",1,27
"52","A01A01","A01","A01",75,10,9,73,"14-Jul-14",1,27
"53","A01A01","A01","A01",75,10,9,73,"29-Jul-14",1,27
"54","A01A01","A01","A01",75,10,9,73,"3-Jul-14",2,40
"55","A01A01","A01","A01",75,10,9,73,"8-Sep-14",1,34
"56","A01A01","A01","A01",75,10,9,73,"9-Aug-14",1,27
"57","A01A01","A01","A01",75,10,9,73,"22-Aug-14",1,27
"58","A01A01","A01","A01",75,10,9,73,"15-Aug-14",1,27
"59","A01A01","A01","A01",75,10,9,73,"21-Jul-14",1,27
"60","A01A02","A01","A02",75,20,9,72,"30-Jul-14",1,36
"61","A01A02","A01","A02",75,20,9,72,"31-Jul-14",1,36
"62","A01A02","A01","A02",75,20,9,72,"15-Jul-14",1,36
"63","A01A02","A01","A02",75,20,9,72,"5-Sep-14",1,35
"64","A01A02","A01","A02",75,20,9,72,"4-Sep-14",1,35
"65","A01A02","A01","A02",75,20,9,72,"16-Jul-14",1,36
"66","A01A02","A01","A02",75,20,9,72,"3-Aug-14",1,36
"67","A01A02","A01","A02",75,20,9,72,"13-Sep-14",1,35
"68","A01A02","A01","A02",75,20,9,72,"15-Sep-14",1,35
"69","A01A02","A01","A02",75,20,9,72,"2-Sep-14",1,35
"70","A01A02","A01","A02",75,20,9,72,"6-Sep-14",1,35
"71","A01A02","A01","A02",75,20,9,72,"19-Sep-14",1,35
"72","A01A02","A01","A02",75,20,9,72,"18-Jul-14",1,36
"73","A01A02","A01","A02",75,20,9,72,"5-Aug-14",1,36
"74","A01A02","A01","A02",75,20,9,72,"22-Jul-14",1,36
"75","A01A02","A01","A02",75,20,9,72,"6-Aug-14",1,1
"76","A01A02","A01","A02",75,20,9,72,"10-Jul-14",1,36
"77","A01A02","A01","A02",75,20,9,72,"3-Sep-14",1,35
"78","A01A02","A01","A02",75,20,9,72,"16-Sep-14",1,35
"79","A01A02","A01","A02",75,20,9,72,"12-Sep-14",1,35
"80","A01A02","A01","A02",75,20,9,72,"1-Aug-14",1,36
"81","A01A02","A01","A02",75,20,9,72,"9-Jul-14",1,36
"82","A01A02","A01","A02",75,20,9,72,"28-Jul-14",1,36
"83","A01A02","A01","A02",75,20,9,72,"9-Sep-14",1,1
"84","A01A02","A01","A02",75,20,9,72,"10-Sep-14",1,1
"85","A01A02","A01","A02",75,20,9,72,"8-Sep-14",1,35
"86","A01A02","A01","A02",75,20,9,72,"5-Jul-14",1,36
"87","A01A02","A01","A02",75,20,9,72,"12-Jul-14",1,36
"88","A01A02","A01","A02",75,20,9,72,"17-Sep-14",1,35
"89","A01A02","A01","A02",75,20,9,72,"11-Jul-14",1,36
"90","A01A02","A01","A02",75,20,9,72,"11-Sep-14",1,35
"91","A01A02","A01","A02",75,20,9,72,"7-Jul-14",1,36
"92","A01A02","A01","A02",75,20,9,72,"3-Jul-14",1,36
"93","A01A02","A01","A02",75,20,9,72,"21-Jul-14",1,36
"94","A01A02","A01","A02",75,20,9,72,"17-Jul-14",1,36
"95","A01A02","A01","A02",75,20,9,72,"26-Jul-14",1,36
"96","A01A02","A01","A02",75,20,9,72,"14-Jul-14",1,36
"97","A01A02","A01","A02",75,20,9,72,"29-Jul-14",1,36
"98","A01A02","A01","A02",75,20,9,72,"8-Jul-14",1,36
"99","A01A02","A01","A02",75,20,9,72,"4-Jul-14",1,36
"100","A01A03","A01","A03",75,30,9,71,"3-Aug-14",1,35
"101","A01A03","A01","A03",75,30,9,71,"30-Jul-14",1,35
"102","A01A03","A01","A03",75,30,9,71,"17-Sep-14",1,36
"103","A01A03","A01","A03",75,30,9,71,"10-Jul-14",1,35
"104","A01A03","A01","A03",75,30,9,71,"31-Jul-14",1,35
"105","A01A03","A01","A03",75,30,9,71,"21-Aug-14",1,35
"106","A01A03","A01","A03",75,30,9,71,"9-Sep-14",1,1
"107","A01A03","A01","A03",75,30,9,71,"6-Sep-14",1,36
